"label,message"
"spam,URGENT: Your bank account has been suspended. Verify immediately at http://secure-login.com"
"spam,Your SBI account is locked due to suspicious activity. Update your details now at http://bank-update.com"
"spam,Alert: Unauthorized login detected. Confirm your identity immediately"
"spam,Your account will be blocked within 24 hours. Verify now to avoid interruption"
"spam,Important notice: Update your KYC details to continue banking services"
"spam,Your debit card has been temporarily blocked. Activate now at http://secure-card.com"
"spam,Security alert: We detected unusual activity. Verify your account immediately"
"spam,Final reminder: Your account access will be restricted. Verify now"
"spam,Income tax alert: Verify your PAN details immediately to avoid penalty"
"spam,Your SIM card will be deactivated. Confirm your identity now at http://sim-update.com"
"spam,Your OTP verification failed. Re-enter details at http://secure-otp.com"
"spam,You have received a refund. Claim now by verifying your bank details"
"spam,Update your account information now to avoid permanent suspension"
"spam,Click here to secure your account immediately: http://account-protect.com"
"spam,Your account has been compromised. Take action now to secure it"

"ham,Your bank statement for this month is now available"
"ham,Transaction of ?500 completed successfully"
"ham,Reminder: Your EMI payment is due tomorrow"
"ham,Meeting scheduled at 3 PM today"
"ham,Please review the project document before tomorrow"
"ham,Your order has been shipped and will arrive soon"
"ham,Let's meet at the usual place around 6 PM"
"ham,Call me when you are free"
"ham,Don't forget to bring the documents for the meeting"
"ham,Lunch plan confirmed for today"
